achieved_a,achieved_b,error_a,error_b,iterations_a,iterations_b,label_a,label_b,p95_a,p95_b,p95_delta_b_minus_a,p95_winner,pass_a,pass_b,prov_cost_a,prov_cost_b,prov_cost_delta_b_minus_a,prov_winner,run,run_dir,stopped_a,stopped_b,stress_k6_rps,target_rps,util_cost_a,util_cost_b
220.0,220.0,0.0,0.0,3,2,formula,llm,353.0,357.0,4.0,a,True,True,0.1234,0.1328,0.009400000000000006,a,1,results-from-cluster/compare-up-sweep-20260602-135112/run-1,recovered_from_underprovisioning,recovered_from_underprovisioning,220.0,220,0.0958,0.0724
220.0,220.0,0.0,0.0,2,2,formula,llm,327.0,204.0,-123.0,b,True,True,0.0949,0.1328,0.0379,a,10,results-from-cluster/compare-up-sweep-20260602-135112/run-10,recovered_from_underprovisioning,recovered_from_underprovisioning,220.0,220,0.0813,0.0426
240.0,240.0,0.0,0.0,4,2,formula,llm,390.0,450.0,60.0,a,True,True,0.1444,0.1328,-0.0116,b,2,results-from-cluster/compare-up-sweep-20260602-135112/run-2,recovered_from_underprovisioning,recovered_from_underprovisioning,240.0,240,0.0671,0.047
260.0,260.0,0.0,0.0,6,2,formula,llm,384.0,303.0,-81.0,b,True,True,0.2357,0.1328,-0.10289999999999999,b,3,results-from-cluster/compare-up-sweep-20260602-135112/run-3,recovered_from_underprovisioning,recovered_from_underprovisioning,260.0,260,0.0968,0.0556
220.0,220.0,0.0,0.0,4,2,formula,llm,277.0,269.0,-8.0,b,True,True,0.1426,0.1328,-0.009800000000000003,b,4,results-from-cluster/compare-up-sweep-20260602-135112/run-4,recovered_from_underprovisioning,recovered_from_underprovisioning,220.0,220,0.0635,0.057
240.0,240.0,0.0,0.0,3,2,formula,llm,420.0,306.0,-114.0,b,True,True,0.1107,0.1328,0.022099999999999995,a,5,results-from-cluster/compare-up-sweep-20260602-135112/run-5,recovered_from_underprovisioning,recovered_from_underprovisioning,240.0,240,0.0657,0.0685
260.0,260.0,0.0,0.0,2,2,formula,llm,400.0,466.0,66.0,a,True,True,0.0949,0.1328,0.0379,a,6,results-from-cluster/compare-up-sweep-20260602-135112/run-6,recovered_from_underprovisioning,recovered_from_underprovisioning,260.0,260,0.0782,0.0434
220.0,220.0,0.0,0.0,2,2,formula,llm,260.0,233.0,-27.0,b,True,True,0.0949,0.1328,0.0379,a,7,results-from-cluster/compare-up-sweep-20260602-135112/run-7,recovered_from_underprovisioning,recovered_from_underprovisioning,220.0,220,0.0904,0.0478
240.0,240.0,0.0,0.0,3,2,formula,llm,497.0,329.0,-168.0,b,True,True,0.1107,0.131,0.0203,a,8,results-from-cluster/compare-up-sweep-20260602-135112/run-8,recovered_from_underprovisioning,recovered_from_underprovisioning,240.0,240,0.0662,0.0765
260.0,260.0,0.0,0.0,2,3,formula,llm,495.0,393.0,-102.0,b,True,True,0.0949,0.2562,0.1613,a,9,results-from-cluster/compare-up-sweep-20260602-135112/run-9,recovered_from_underprovisioning,recovered_from_underprovisioning,260.0,260,0.08,0.1351
